,id,city_id,type,kr_name,loc_name,title,content,latitude,longitude,address,contact,homepage,how_to_go,available_time,score,created_at,updated_at,coordinate,title_img,facilities,atmosphere
10,11,3,4,Minami-Fukuoka Good Place Hotel,Minami-Fukuoka Good Place Hotel,Minami-Fukuoka Good Place Hotel,accommodation,130.4603258,33.5442606,,,,대중교통,,0.0,2025-03-06 15:51:14,,"b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00)\x10,\xfd\xbaN`@,\xc0\xd2T\xaa\xc5@@'",dafcd2c0-c08d-48d2-ab5e-1fa62ef44406.jpg,[],[]
11,12,3,4,Hotel AZ Fukuoka Kanenokuma,HOTEL AZ 福岡金の隈店,Hotel AZ Fukuoka Kanenokuma,"이 실용적인 호텔은 다자이후 천만궁에서 10km, 미즈키성과 후쿠오카 카스가 파크 스타디움에서 5km 거리에 있습니다.
객실은 카펫 바닥과 목제 가구로 소박하게 꾸며져 있습니다. 객실마다 무료 Wi-Fi, 위성 TV, 소형 냉장고, 실내 욕실, 다기가 구비되어 있습니다.
조식과 주차는 무료입니다. 기타 편의시설로는 레스토랑 2곳, 편의점, 코인 세탁실이 있습니다.",130.4780685,33.5530958,"3 Chome-14-25 Kanenokuma, Hakata Ward, Fukuoka, 812-0863 일본 ",+81 92-513-3301,http://www.az-hotel.com/kanenokuma/,대중교통,"체크인 시간: 오후 3:00
체크아웃 시간: 오전 10:00",3.5,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\xee\x97OVLO`@\tG\xda\xd7\xcb\xc6@@',5672f514-61e1-4856-b335-7375a6d4d874.jpg,"['무료 Wi-Fi', '조식 포함', '무료 주차', '휠체어 사용 가능', '수영장', '에어컨', '유아 동반 가능', '음식점', '피트니스 센터']",
12,13,3,4,The Mickey Carton Ohashi,The Mickey Carton Ohashi,The Mickey Carton Ohashi,accommodation,130.4305715,33.5529104,,,,대중교통,,3.0,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\xdf\xe2\xe1=\xc7M`@$\xcf\x9a\xc4\xc5\xc6@@',2273e372-655a-4e6c-95ff-a093913131ff.jpg,[],[]
13,14,3,4,A.T. HOTEL HAKATA,A.T. HOTEL HAKATA,A.T. HOTEL HAKATA,"아부라산 전망이 보이는 이 현대적인 아파트 호텔은 다케시타 기차역에서 도보 12분, 후쿠오카시 미술관에서 5km 거리에 있습니다.
발코니가 딸린 밝고 현대적인 아파트에 Wi-Fi, TV, 거실과 식사 공간, 세탁기가 있는 주방이 갖춰져 있습니다. 일부 객실에서는 산 또는 기차가 보이거나 다다미 바닥과 이불을 이용할 수 있습니다.
주차도 가능합니다.",130.4263968,33.5748356,"5 Chome-26-18 Hakataekiminami, Hakata Ward, Fukuoka, 812-0016 일본 ",+81 92-710-5571,https://www.at-hotel.biz/,대중교통,"체크인 시간: 오후 3:00
체크아웃 시간: 오전 11:00",4.2,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\xcf\xe3\xe6\n\xa5M`@\xccI\x836\x94\xc9@@',253ff48a-bbd1-4fce-8418-ac31bcc6fa75.jpg,"['무료 Wi-Fi', '조식 포함', '유료 주차', '휠체어 사용 가능', '수영장', '에어컨', '비즈니스 센터', '애완동물 허용', '유아 동반 가능', '음식점', '일부 객실 내 주방 시설', '공항 셔틀 서비스', '피트니스 센터', '금연']",
14,15,3,4,レジデンスホテル博多美野島,レジデンスホテル博多美野島,レジデンスホテル博多美野島,accommodation,130.4179896,33.5773114,"3 Chome-17-20 Minoshima, Hakata Ward, Fukuoka, 812-0017 일본 ",+81 92-292-1015,,대중교통,"체크인 시간: 오후 3:00
체크아웃 시간: 오전 11:00",4.1,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00.\xc2\xb9+`M`@\xd2M\x07W\xe5\xc9@@',62c8b08e-66c1-4f08-8f3b-73b6d4762f8c.jpg,[],[]
15,16,3,4,GUEST HOUSE YASURAGI,安らぎ博多駅前,GUEST HOUSE YASURAGI,accommodation,130.416845,33.5848973,"4 Chome-7-21 Hakata Ekimae, Hakata Ward, Fukuoka, 812-0011 일본 ",+81 90-3447-9739,https://guesthouseyasuragihakataekimae.jphotel.site/,대중교통,"체크인 시간: 오후 3:00
체크아웃 시간: 오전 11:00",4.1,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\tPS\xcbVM`@e\x82+\xea\xdd\xca@@',f83a5769-8c11-48ca-bebe-ec3fce7393a1.jpg,"['무료 Wi-Fi', '조식 포함', '무료 주차', '수영장', '에어컨', '애완동물 허용', '음식점', '공항 셔틀 서비스', '피트니스 센터', '금연']",
16,17,3,4,The Grand Residence Hotel Hakata,グランドレジデンスホテル博多,The Grand Residence Hotel Hakata,accommodation,130.4322145,33.5874457,"4 Chome-4-12 Higashihie, Hakata Ward, Fukuoka, 812-0007 일본 ",+81 92-292-1015,https://www.booking.com/hotel/jp/the-grand-residence-hakata.ja.html,대중교통,"체크인 시간: 오후 3:00
체크아웃 시간: 오전 11:00",3.3,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00l\xcb\x80\xb3\xd4M`@\x82\xd6\xb2k1\xcb@@',78faafa6-d878-439a-915d-b784cfd268e0.jpg,"['무료 Wi-Fi', '조식 포함', '무료 주차', '수영장', '에어컨', '피트니스 센터']",
17,18,3,4,ホテルリファレンス六本松コンドミニアム,ホテルリファレンス六本松コンドミニアム,ホテルリファレンス六本松コンドミニアム,accommodation,130.3796457,33.5780337,,,https://re-hotel.jp/ropponmatsu/,대중교통,체크인 시간: 오후 3:00,5.0,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00%2\xbd\x0e&L`@1\xbe\x1e\x02\xfd\xc9@@',22715444-8f90-493d-a0c6-9f7d453a5493.jpg,[],[]
18,19,3,4,梅光園,梅光園,梅光園,accommodation,130.3774809,33.5715421,"2 Chome-9-10 Baikoen, Chuo Ward, Fukuoka, 810-0035 일본 ",+81 90-5933-9639,https://www.booking.com/Share-uwpLPAV,대중교통,체크아웃 시간: 오전 11:00,5.0,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\xab\x0b\xd3R\x14L`@\xc2\xe4\xa1J(\xc9@@',4d4d5046-f5dc-4869-8394-06486785f528.jpg,[],[]
19,20,3,4,언플랜 후쿠오카,UNPLAN Fukuoka（ホステル）,언플랜 후쿠오카,"세후리산 전망을 감상할 수 있는 이 트렌디한 호스텔은 식당가에 자리하며 오호리 공원(후쿠오카 미술관) 지하철역에서 도보 1분, 드넓은 오호리 공원에서 도보 5분 거리에 있습니다.
1인용으로 설계된 캡슐형 객실과 벙커형 객실에는 이층 침대가 있으며, 인더스트리얼 분위기의 객실에는 객실 내 금고가 구비되어 있습니다. 욕실은 공용입니다. 개인용 객실에는 휴식 공간이 마련되어 있거나 다다미 바닥에 이불이 제공됩니다. 여성 전용층도 마련되어 있습니다.
편의시설로는 조식, 자전거 대여, 카페, 공용 주방, 소파, TV, Wi-Fi가 구비된 라운지가 있습니다. 루프톱 테라스에서는 산 전망을 감상할 수 있습니다. 코인 세탁실도 마련되어 있습니다.",130.3799577,33.5903775,"일본 〒810-0074 Fukuoka, Chuo Ward, Otemon, 3 Chome−4−1 UNPLAN Fukuoka 1F ",+81 92-406-7704,https://unplan.jp/fukuoka,대중교통,"체크인 시간: 오후 4:00
체크아웃 시간: 오전 11:00",4.0,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\xa1\xeb\x0c\x9d(L`@\xaaek}\x91\xcb@@',c8ef54fa-d32c-49d3-ac5a-fbc5294773fb.jpg,"['무료 Wi-Fi', '조식 포함', '주차 가능', '수영장', '에어컨', '애완동물 허용', '음식점', '피트니스 센터', '금연']",
20,21,3,4,호텔 뉴 가에아 도메마에,ホテルニューガイア ドーム前,호텔 뉴 가에아 도메마에,accommodation,130.3679553,33.5894441,"1 Chome-4-6 Jigyo, Chuo Ward, Fukuoka, 810-0064 일본 ",+81 92-737-3901,http://www.hotelnewgaea.com/domemae/,대중교통,"체크인 시간: 오후 3:00
체크아웃 시간: 오전 11:00",3.9,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00z|1J\xc6K`@\xfb(~\xe7r\xcb@@',3b1c2c40-0d87-443c-8e45-4bd139775572.jpg,"['무료 Wi-Fi', '유료 아침식사', '유료 주차', '수영장', '에어컨', '유아 동반 가능', '음식점', '공항 셔틀 서비스', '피트니스 센터']",
21,22,3,4,Heiwadai Hotel 5,平和台ホテル5,Heiwadai Hotel 5,"도진마치 지하철역에서 도보 3분 거리에 자리한 이 소박한 호텔은 오호리 공원에서 도보 14분, 후쿠오카 돔 경기장 및 콘서트장에서 1km 거리에 있습니다.
소박한 객실에 평면 TV, 미니 냉장고, 차 및 커피 메이커가 마련되어 있으며 일부 객실에는 Wi-Fi와 소파베드도 제공됩니다. 전통식 다다미가 깔려 있고 공용 욕실이 구비된 객실도 있습니다.
조식 뷔페와 저녁 식사를 제공하는 소박한 레스토랑이 있습니다. 주차는 유료로 이용 가능합니다.",130.3685846,33.5890682,"일본 〒810-0054 Fukuoka, Chuo Ward, Imagawa, 1 Chome−4−2 平和台ホテル５ ",+81 92-732-5000,http://www.heiwadai-hotel.co.jp/5/,대중교통,"체크인 시간: 오후 3:00
체크아웃 시간: 오전 10:00",3.4,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\xe5Y\xeeq\xcbK`@\x8a\x0e7\x96f\xcb@@',25e72cba-1d43-4752-bc37-04ad2db3bd6d.jpg,"['무료 Wi-Fi', '유료 아침식사', '유료 주차', '수영장', '에어컨', '애완동물 허용', '음식점', '공항 셔틀 서비스', '피트니스 센터', '금연']",
22,23,3,4,Comfort CUBE PHOENIX S ROPPONMATSU,Comfort CUBE PHOENIX S ROPPONMATSU,Comfort CUBE PHOENIX S ROPPONMATSU,accommodation,130.3811007,33.5784621,,,https://phoenix-re.jp/ropponmatsu/,대중교통,,0.0,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00r_\x18\xfa1L`@\xdd\xbc\xcc\x0b\x0b\xca@@',e53f212d-512a-4e88-a4b4-1cdf81ee5115.jpg,[],[]
23,24,3,4,フレイズ鳥飼,フレイズ鳥飼,フレイズ鳥飼,accommodation,130.366099,33.5803154,"4 Chome-12-20 Torikai, Jonan Ward, Fukuoka, 814-0103 일본 ",+81 92-600-0500,,대중교통,,5.0,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00%\x03@\x15\xb7K`@\xbe.h\xc6G\xca@@',c1076dcc-9bdc-4d05-bd20-763de1afc2f1.jpg,[],[]
24,25,3,4,桜坂APT,桜坂APT,桜坂APT,accommodation,130.3851707,33.5755429,"1 Chome-3-30 Tani, Chuo Ward, Fukuoka, 810-0031 일본 ",+81 92-600-0500,,대중교통,체크인 시간: 오후 3:00,5.0,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\x14\xfc\x80QSL`@\xf6x\xc6c\xab\xc9@@',9d24dfc8-a601-4681-8552-7805b643e5bf.jpg,[],[]
25,26,3,4,베이케이션 렌탈스 아카사카,Vacation Rentals AKASAKA,베이케이션 렌탈스 아카사카,accommodation,130.3849918,33.583858,,,,대중교통,"체크인 시간: 오후 3:00
체크아웃 시간: 오전 10:00",4.3,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00M\xc7R\xdaQL`@\x05\xc1\xe3\xdb\xbb\xca@@',86039118-0053-4654-acc9-e5aee887f89e.jpg,"['무료 Wi-Fi', '조식 포함', '수영장', '애완동물 허용', '유아 동반 가능', '음식점', '공항 셔틀 서비스', '피트니스 센터']",
26,27,3,4,스탠드 바이 미,Hostel STAND BY ME,스탠드 바이 미,accommodation,130.3850401,33.5895658,"일본 〒810-0074 Fukuoka, Chuo Ward, Otemon, 1 Chome−3−22 坂田ビル ",+81 70-9372-4154,,대중교통,"체크인 시간: 오후 7:00
체크아웃 시간: 오전 10:00",3.6,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\xc1\xa4\x9d?RL`@\x88\xebb\xe4v\xcb@@',54100dd1-91f7-42e8-917a-dd70fa67eacb.jpg,"['무료 Wi-Fi', '조식 포함', '주차 가능', '휠체어 사용 가능', '수영장', '에어컨', '애완동물 허용', '음식점', '공항 셔틀 서비스', '피트니스 센터', '바', '금연']",
27,28,3,4,Fuel Inn 大濠,Fuel Inn 大濠,Fuel Inn 大濠,accommodation,130.3711182,33.5887852,,,http://www.fuelinnjapan.com/,대중교통,"체크인 시간: 오후 3:00
체크아웃 시간: 오전 11:00",4.2,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00j~F3\xe0K`@5/=P]\xcb@@',db1b3543-6468-499d-a328-41ab22c102ef.jpg,"['무료 Wi-Fi', '조식 포함', '수영장', '에어컨', '애완동물 허용', '음식점', '일부 객실 내 주방 시설', '공항 셔틀 서비스', '피트니스 센터']",
28,29,3,4,더 레지덴셜 스위트 후쿠오카,ザ・レジデンシャルスイート・福岡,더 레지덴셜 스위트 후쿠오카,"이 깔끔한 호텔은 가장 가까운 지하철역에서 도보 12분, 후쿠오카 야후오쿠 돔 경기장에서 도보 14분, 캐널 시티 하카타에서 6km 거리에 있습니다.
아늑한 객실에 간이 주방, 평면 TV, 무료 Wi-Fi가 구비되어 있습니다. 룸 서비스도 이용 가능합니다. 스위트룸에는 별도의 거실과 식사 공간이 추가됩니다.
편의시설로는 캐주얼한 레스토랑과 수영장이 있습니다. 회의실도 마련되어 있습니다.",130.3553886,33.5904516,"일본 〒814-0001 Fukuoka, Sawara Ward, Momochihama, 1 Chome 3番70号 ",+81 92-846-8585,https://www.trs-fukuoka.co.jp/,대중교통,"체크인 시간: 오후 3:00
체크아웃 시간: 오전 11:00",4.2,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\xe1\xcb\xe9W_K`@y\xef\x03\xeb\x93\xcb@@',b7e5bbe8-0150-444f-9442-aee53d5c9605.jpg,"['무료 Wi-Fi', '유료 아침식사', '유료 주차', '휠체어 사용 가능', '실내 및 실외 수영장', '에어컨', '세탁 서비스', '비즈니스 센터', '애완동물 허용', '유아 동반 가능', '음식점', '일부 객실 내 주방 시설', '공항 셔틀 서비스', '피트니스 센터', '금연']",
29,30,3,4,One`s Hotel Fukuoka,ワンズホテル 福岡,One`s Hotel Fukuoka,"대로변에 자리한 이 편안한 분위기의 호텔은 가장 가까운 지하철역에서 도보 1분, 오호리 공원에서 도보 9분, 야구 경기가 열리는 후쿠오카 PayPay 돔에서 도보 13분, 전망대에서 탁 트인 도시 전망을 감상할 수 있는 후쿠오카 타워에서 2km 거리에 있습니다.
깔끔하고 아담한 객실에 Wi-Fi, 평면 TV, 미니 냉장고, 객실 내 욕실이 마련되어 있습니다. 상위 등급 객실에는 소파가 추가됩니다.
차분한 식사 공간에서 조식 뷔페가 제공됩니다. 코인 세탁실도 이용할 수 있습니다.",130.3689879,33.5892731,"1 Chome-3-3 Imagawa, Chuo Ward, Fukuoka, 810-0054 일본 ",+81 92-738-5533,https://www.oneshotel.jp/#mainimg,대중교통,"체크인 시간: 오후 3:00
체크아웃 시간: 오전 10:00",3.9,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\xd5c\xb6\xbf\xceK`@\xcet\nMm\xcb@@',3b362a1c-11cd-4853-93f8-afa28b999321.jpg,"['무료 Wi-Fi', '유료 아침식사', '무료 주차', '수영장', '에어컨', '세탁 서비스', '애완동물 허용', '음식점', '공항 셔틀 서비스', '피트니스 센터']",
30,31,3,4,씨사이드호텔 트윈즈 모모치,シーサイドホテルツインズももち,씨사이드호텔 트윈즈 모모치,"가로수길에 자리한 이 깔끔한 호텔은 후쿠오카 모모치 해변공원에서 도보로 9분, 후쿠오카 돔에서 도보로 11분, 니시진 기차역에서 도보로 15분 거리에 있습니다.
원목 바닥으로 된 깔끔한 객실에는 평면 TV, 미니 냉장고, 차 및 커피 메이커가 구비되어 있습니다. 업그레이드 객실에는 휴식 공간이 추가되며 다다미 바닥으로 된 일부 객실에는 전통적인 좌식 테이블이 제공됩니다. Wi-Fi도 이용 가능합니다.
여유로운 분위기의 아늑한 식당에서 조식 뷔페를 유료로 제공합니다.",130.3554147,33.5921008,"1 Chome-7-4 Momochihama, Sawara Ward, Fukuoka, 814-0001 일본 ",+81 92-822-5001,http://www.ihwgroup.co.jp/,대중교통,"체크인 시간: 오전 12:00
체크아웃 시간: 오전 12:00",3.5,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\x91 \xa6\x8e_K`@\xbc\xf7\x81\xf5\xc9\xcb@@',3c03acd1-e963-4c40-979e-c3ae3c3067ae.jpg,"['무료 Wi-Fi', '유료 아침식사', '유료 주차', '수영장', '에어컨', '세탁 서비스', '애완동물 허용', '유아 동반 가능', '음식점', '공항 셔틀 서비스', '피트니스 센터']",
31,32,3,4,STAIRS HOTEL,STAIRS HOTEL,STAIRS HOTEL,accommodation,130.3797007,33.579132,,,,대중교통,,0.0,2025-03-06 15:51:14,,b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\x96\x18\x15\x82&L`@\x96\x08T\xff \xca@@',85dd1e2b-d7c7-4385-bd6d-bc3168b0b9e9.jpg,[],[]
32,33,3,4,Gwell Hakata Ropponmatsu,Gwell Hakata Ropponmatsu,Gwell Hakata Ropponmatsu,accommodation,130.381444,33.5781316,"일본 〒810-0044 Fukuoka, Chuo Ward, Ropponmatsu, 3 Chome−7−6 ラフィーネ六本松 501 ",+81 90-3685-1866,https://beds24.com/booking2.php?propid=261418&referer=iframe,대중교통,,0.0,2025-03-06 15:51:14,,"b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00,(\x0c\xca4L`@_d]7\x00\xca@@'",31490104-93ef-49e6-9a4c-7d74e0a20e26.jpg,[],[]
